,Unnamed: 0,Unnamed: 0.1,ADDR_PCT_CD,OFNS_DESC,LAW_CAT_CD,BORO_NM,PREM_TYP_DESC,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,Latitude,Longitude,PATROL_BORO,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,year,day,month,weekday,hour
0,0,0,81.0,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,BROOKLYN,COMMERCIAL_BUILDING,UNKNOWN,,U,40.685040958,-73.921776995,PATROL BORO BKLYN NORTH,25-44,OTHER,F,2014,4,9,Thursday,17
1,1,1,121.0,GRAND LARCENY,FELONY,STATEN_ISLAND,Residence_House,UNKNOWN,BLACK,U,40.63699139,-74.134092508,PATROL BORO STATEN ISLAND,45-64,WHITE_HISPANIC,F,2016,12,10,Wednesday,7
2,2,2,41.0,GRAND LARCENY,FELONY,BRONX,Park_Street,UNKNOWN,WHITE HISPANIC,M,40.823876276,-73.891862968,PATROL BORO BRONX,45-64,WHITE_HISPANIC,F,2012,28,9,Friday,13
3,3,3,46.0,PETIT LARCENY,MISDEMEANOR,BRONX,Park_Street,UNKNOWN,BLACK,M,40.845707148,-73.910398033,PATROL BORO BRONX,_18,WHITE_HISPANIC,F,2015,24,3,Tuesday,15
4,4,4,109.0,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,QUEENS,Park_Street,25-44,WHITE HISPANIC,M,40.763991557,-73.828425559,PATROL BORO QUEENS NORTH,25-44,BLACK,M,2017,20,5,Saturday,4
5,5,5,41.0,PETIT LARCENY,MISDEMEANOR,BRONX,Park_Street,25-44,WHITE HISPANIC,M,40.819885621,-73.901226998,PATROL BORO BRONX,UNKNOWN,UNKNOWN,UNKNOWN,2015,16,4,Thursday,15
6,6,6,70.0,HARRASSMENT 2,VIOLATION,BROOKLYN,Park_Street,UNKNOWN,,U,40.617674365,-73.962810741,PATROL BORO BKLYN SOUTH,18-24,WHITE,F,2011,1,2,Tuesday,17
7,7,7,20.0,ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,MANHATTAN,Park_Street,UNKNOWN,BLACK,F,40.773511104,-73.987206072,PATROL BORO MAN NORTH,25-44,UNKNOWN,M,2014,1,2,Saturday,5
8,8,8,32.0,MURDER & NON-NEGL. MANSLAUGHTER,FELONY,UNKNOWN,Park_Street,25-44,BLACK,M,40.812797101,-73.943663498,,25-44,UNKNOWN,M,2017,12,5,Friday,7
9,9,9,83.0,SEX CRIMES,FELONY,BROOKLYN,Park_Street,25-44,WHITE HISPANIC,M,40.697963515,-73.918083362,PATROL BORO BKLYN NORTH,_18,WHITE_HISPANIC,F,2007,16,10,Tuesday,2
